,Mouse ID,Session ID,Block Trial,Port Streak,Reward Streak,Decision,Switch,Higher p port,Reward
0,tonks,06272016_tonks,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,tonks,06272016_tonks,1.0,1.0,-1.0,0.0,1.0,1.0,1.0
2,tonks,06272016_tonks,2.0,1.0,1.0,0.0,0.0,1.0,1.0
3,tonks,06272016_tonks,3.0,2.0,2.0,0.0,0.0,1.0,1.0
4,tonks,06272016_tonks,4.0,3.0,3.0,0.0,0.0,1.0,1.0
5,tonks,06272016_tonks,5.0,4.0,4.0,0.0,0.0,1.0,1.0
6,tonks,06272016_tonks,6.0,5.0,5.0,1.0,1.0,0.0,0.0
7,tonks,06272016_tonks,7.0,1.0,-1.0,0.0,1.0,1.0,1.0
8,tonks,06272016_tonks,8.0,1.0,1.0,0.0,0.0,1.0,1.0
9,tonks,06272016_tonks,9.0,2.0,2.0,1.0,1.0,0.0,0.0
10,tonks,06272016_tonks,10.0,1.0,-1.0,0.0,1.0,1.0,1.0
11,tonks,06272016_tonks,11.0,1.0,1.0,0.0,0.0,1.0,1.0
12,tonks,06272016_tonks,12.0,2.0,2.0,0.0,0.0,1.0,1.0
13,tonks,06272016_tonks,13.0,3.0,3.0,1.0,1.0,0.0,0.0
14,tonks,06272016_tonks,14.0,1.0,-1.0,0.0,1.0,1.0,1.0
15,tonks,06272016_tonks,15.0,1.0,1.0,1.0,1.0,0.0,0.0
16,tonks,06272016_tonks,16.0,1.0,-1.0,1.0,0.0,0.0,0.0
17,tonks,06272016_tonks,17.0,2.0,-2.0,1.0,0.0,0.0,0.0
18,tonks,06272016_tonks,18.0,3.0,-3.0,0.0,1.0,1.0,1.0
19,tonks,06272016_tonks,19.0,1.0,1.0,0.0,0.0,1.0,1.0
20,tonks,06272016_tonks,20.0,2.0,2.0,0.0,0.0,1.0,1.0
21,tonks,06272016_tonks,21.0,3.0,3.0,0.0,0.0,1.0,1.0
22,tonks,06272016_tonks,0.0,4.0,4.0,0.0,0.0,0.0,0.0
23,tonks,06272016_tonks,1.0,5.0,-1.0,0.0,0.0,0.0,0.0
24,tonks,06272016_tonks,2.0,6.0,-2.0,0.0,0.0,0.0,0.0
25,tonks,06272016_tonks,3.0,7.0,-3.0,0.0,0.0,0.0,0.0
26,tonks,06272016_tonks,4.0,8.0,-4.0,0.0,0.0,0.0,0.0
27,tonks,06272016_tonks,5.0,9.0,-5.0,0.0,0.0,0.0,0.0
28,tonks,06272016_tonks,6.0,10.0,-6.0,1.0,1.0,1.0,1.0
