,Previous_10_Left_Choice,Previous_10_Right_Choice,Previous_10_Left_Reward,Previous_10_Right_Reward,Streak,5_Port,5_Reward,5_ITI,5_trialDuration,4_Port,4_Reward,4_ITI,4_trialDuration,3_Port,3_Reward,3_ITI,3_trialDuration,2_Port,2_Reward,2_ITI,2_trialDuration,1_Port,1_Reward,1_ITI,1_trialDuration,0_ITI,0_trialDuration,Decision
5818,10.0,0.0,6.0,0.0,4.0,1.0,0.0,1.28,0.371,1.0,1.0,2.092,0.348,1.0,1.0,1.646,0.455,1.0,1.0,1.8840000000000001,0.27399999999999997,1.0,1.0,1.8219999999999998,0.645,1.771,0.29600000000000004,1.0
5819,10.0,0.0,6.0,0.0,5.0,1.0,1.0,2.092,0.348,1.0,1.0,1.646,0.455,1.0,1.0,1.8840000000000001,0.27399999999999997,1.0,1.0,1.8219999999999998,0.645,1.0,1.0,1.771,0.29600000000000004,2.23,0.546,1.0
5820,10.0,0.0,6.0,0.0,6.0,1.0,1.0,1.646,0.455,1.0,1.0,1.8840000000000001,0.27399999999999997,1.0,1.0,1.8219999999999998,0.645,1.0,1.0,1.771,0.29600000000000004,1.0,1.0,2.23,0.546,2.256,0.237,1.0
5821,10.0,0.0,7.0,0.0,7.0,1.0,1.0,1.8840000000000001,0.27399999999999997,1.0,1.0,1.8219999999999998,0.645,1.0,1.0,1.771,0.29600000000000004,1.0,1.0,2.23,0.546,1.0,1.0,2.256,0.237,1.069,0.466,1.0
5822,10.0,0.0,8.0,0.0,8.0,1.0,1.0,1.8219999999999998,0.645,1.0,1.0,1.771,0.29600000000000004,1.0,1.0,2.23,0.546,1.0,1.0,2.256,0.237,1.0,1.0,1.069,0.466,2.147,0.295,1.0
5823,10.0,0.0,9.0,0.0,9.0,1.0,1.0,1.771,0.29600000000000004,1.0,1.0,2.23,0.546,1.0,1.0,2.256,0.237,1.0,1.0,1.069,0.466,1.0,1.0,2.147,0.295,1.3359999999999999,0.322,1.0
5824,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.23,0.546,1.0,1.0,2.256,0.237,1.0,1.0,1.069,0.466,1.0,1.0,2.147,0.295,1.0,1.0,1.3359999999999999,0.322,1.8090000000000002,0.214,1.0
5825,10.0,0.0,10.0,0.0,0.0,1.0,1.0,2.256,0.237,1.0,1.0,1.069,0.466,1.0,1.0,2.147,0.295,1.0,1.0,1.3359999999999999,0.322,1.0,1.0,1.8090000000000002,0.214,2.545,0.36700000000000005,1.0
5826,10.0,0.0,9.0,0.0,-1.0,1.0,1.0,1.069,0.466,1.0,1.0,2.147,0.295,1.0,1.0,1.3359999999999999,0.322,1.0,1.0,1.8090000000000002,0.214,1.0,0.0,2.545,0.36700000000000005,1.52,0.38799999999999996,1.0
5827,10.0,0.0,9.0,0.0,1.0,1.0,1.0,2.147,0.295,1.0,1.0,1.3359999999999999,0.322,1.0,1.0,1.8090000000000002,0.214,1.0,0.0,2.545,0.36700000000000005,1.0,1.0,1.52,0.38799999999999996,2.285,0.307,1.0
5828,10.0,0.0,9.0,0.0,2.0,1.0,1.0,1.3359999999999999,0.322,1.0,1.0,1.8090000000000002,0.214,1.0,0.0,2.545,0.36700000000000005,1.0,1.0,1.52,0.38799999999999996,1.0,1.0,2.285,0.307,2.407,0.40399999999999997,1.0
5829,10.0,0.0,9.0,0.0,3.0,1.0,1.0,1.8090000000000002,0.214,1.0,0.0,2.545,0.36700000000000005,1.0,1.0,1.52,0.38799999999999996,1.0,1.0,2.285,0.307,1.0,1.0,2.407,0.40399999999999997,2.5639999999999996,0.319,1.0
5830,10.0,0.0,9.0,0.0,4.0,1.0,0.0,2.545,0.36700000000000005,1.0,1.0,1.52,0.38799999999999996,1.0,1.0,2.285,0.307,1.0,1.0,2.407,0.40399999999999997,1.0,1.0,2.5639999999999996,0.319,1.4,0.26899999999999996,1.0
5831,10.0,0.0,9.0,0.0,5.0,1.0,1.0,1.52,0.38799999999999996,1.0,1.0,2.285,0.307,1.0,1.0,2.407,0.40399999999999997,1.0,1.0,2.5639999999999996,0.319,1.0,1.0,1.4,0.26899999999999996,3.0639999999999996,0.284,1.0
