3.206,1.849,0.637,2,0,1,1
25.926,5.608,0.409,1,0,1,0
28.547,1.366,0.702,2,0,1,1
56.35,5.642,0.331,1,0,1,0
61.238,1.162,0.404,2,0,1,1
83.96,1.491,0.343,1,0,1,0
85.629,1.334,0.335,1,0,1,0
128.74,1.522,0.32,2,0,1,1
134.17,2.231,0.385,2,0,1,1
139.48,1.131,0.365,2,0,1,1
149.79,1.3,0.294,2,0,1,1
153.15,3.113,0.246,2,0,1,1
161.06,1.593,0.45,2,0,1,1
166.98,2.659,0.415,2,0,1,1
175.83,3.192,0.382,1,0,1,0
177.27,1.12,0.316,1,0,1,0
179.84,2.171,0.401,1,0,1,0
181.97,1.496,0.632,2,0,1,1
187.29,2.162,0.399,2,0,1,1
191.97,1.468,0.308,2,0,1,1
203.44,2.523,0.475,2,0,1,1
206.39,2.681,0.268,2,0,1,1
212.38,5.614,0.38,2,0,1,1
215.9,3.15,0.368,2,0,1,1
227.44,2.31,0.396,1,0,1,0
229.19,1.42,0.328,1,0,1,0
248.17,10.733,0.304,1,0,1,0
250.41,1.876,0.365,1,0,1,0
253.66,2.837,0.417,2,0,1,1
258.4,1.809,0.387,2,0,1,1
261.33,2.602,0.335,2,0,1,1
265.12,3.519,0.27,2,0,1,1
268.64,3.153,0.37,2,0,1,1
273.71,1.675,0.425,2,0,1,1
276.54,2.335,0.494,2,0,1,1
292.71,1.445,0.334,2,0,1,1
298.81,1.422,0.314,2,0,1,1
303.2,1.537,0.473,2,0,1,1
305.43,1.98,0.249,2,0,1,1
318.09,3.24,0.463,2,0,1,1
322.79,1.53,0.3,2,0,1,1
326.24,3.037,0.41,2,1,0,0
328.22,1.613,0.373,1,1,0,1
334.06,2.136,0.409,2,1,0,0
336.23,1.863,0.313,2,1,0,0
337.74,1.107,0.405,2,1,0,0
341.55,2.628,1.181,2,1,0,0
356.11,1.843,0.558,1,1,0,1
358.29,1.761,0.417,1,1,0,1
360.56,1.934,0.333,1,1,0,1
363.47,2.534,0.382,1,1,0,1
366.33,2.543,0.31,1,1,0,1
376.78,1.633,0.541,1,1,0,1
378.59,1.464,0.345,1,1,0,1
380.65,1.762,0.304,1,1,0,1
383.18,2.239,0.289,1,1,0,1
385.58,1.984,0.418,1,1,0,1
387.91,1.983,0.343,1,1,0,1
390.36,2.161,0.287,1,1,0,1
392.61,1.913,0.338,1,1,0,1
397.01,1.21,0.304,1,1,0,1
406.4,1.74,0.299,1,1,0,1
419.46,2.782,0.373,1,1,0,1
421.1,1.248,0.396,1,1,0,1
422.9,1.479,0.323,1,1,0,1
431.5,1.27,0.502,1,1,0,1
433.08,1.253,0.329,1,1,0,1
435.36,1.92,0.358,1,1,0,1
437.48,1.806,0.319,1,1,0,1
440.03,2.225,0.32,1,1,0,1
445.11,1.275,0.304,1,1,0,1
450.14,1.642,0.445,1,1,0,1
